timestamp,tweet_text,username,all_hashtags
2019-03-14 15:12:13,@gabrielwelsch @MarkRWeaver It is working much better than #Facebook and #Instagram. #FacebookDown #instagramdown,FarmerSteele,"['Facebook', 'Instagram', 'FacebookDown', 'instagramdown']"
2019-03-14 15:10:47,"If the IG and FB glitch taught you anything, I hope it was that #1. You should have more than one means of communication with your audience #2. A website is a must! #igblackout #FacebookDown #instagramdown #InstagramBlackout2019 #socialmediacraze #ThursdayThoughts",bossdivas_,"['igblackout', 'FacebookDown', 'instagramdown', 'InstagramBlackout2019', 'socialmediacraze', 'ThursdayThoughts']"
2019-03-14 15:10:43,I think yesterday a lot of people suddenly remembered they had a twitter account. #FacebookDown #instagramdown,gadgitgyrl001,"['FacebookDown', 'instagramdown']"
2019-03-14 15:10:33,"#BREAKING |  Instagram&amp; Facebook, after 17 hours of maintenance is back again. Long time inaccessibility for the users in social media history.  #Twitter connecting the global community.  #FacebookDown #facebook #facebookoutage   #instagramdown #Instagram #instagramnotworking",loveonninspyr,"['BREAKING', 'Twitter', 'FacebookDown', 'facebook', 'facebookoutage', 'instagramdown', 'Instagram', 'instagramnotworking']"
2019-03-14 15:09:49,I did some serious podcasting yesterday. What did you do while #Instagramdown and #FacebookDown?   https://t.co/5fw6McoilL,timelesoptimist,"['Instagramdown', 'FacebookDown']"
2019-03-14 15:09:43,"Well, this tweet blew up. 😎 #instagramdown #facebookdown https://t.co/HbtThaXa8b",byrneness,"['instagramdown', 'facebookdown']"
2019-03-14 15:08:00,Need a great book to read?  THE FAKE DATE   A date that left her fighting for her life...!  https://t.co/2MjdULZmgf  #thriller #suspense @RubyFiction  #WomenSupportingWomen #ThursdayThoughts #PsychologicalThriller #FacebookDown #instagramdown #Yorkshire #Scarborough #lovesuspense https://t.co/DIzozUh5KK,LyndaStacey,"['thriller', 'suspense', 'WomenSupportingWomen', 'ThursdayThoughts', 'PsychologicalThriller', 'FacebookDown', 'instagramdown', 'Yorkshire', 'Scarborough', 'lovesuspense']"
2019-03-14 15:07:54,How did #FacebookDown and #instagramdown yesterday affect you? I'm chatting with 25 other industry pros about social media do's and don'ts on the @risingtidesoc / @honeybook blog today! https://t.co/RQ8Y4f47M1,candice_coppola,"['FacebookDown', 'instagramdown']"
2019-03-14 15:04:13,"Before the #facebookdown and #instagramdown outage yesterday, we hosted a St. Patrick's Day Facebook Live Video with Chef Dino. He made some truly delicious Corned Beef Sliders with @ViennaBeef Corned Beef. You can get the full recipe here - https://t.co/yzAOWnGt24 https://t.co/2xxrXuIFM4",TonysFreshMkt,"['facebookdown', 'instagramdown']"
2019-03-14 15:03:50,Instagram and facebook are down so twitter has become the new sharing platform for Toronto Wood Design projects. Recent coasters that will be demolded tonight!  #FacebookDown #instagramdown #woodworking #resin https://t.co/u6U9A44Dtr,WoodToronto,"['FacebookDown', 'instagramdown', 'woodworking', 'resin']"
2019-03-14 15:03:18,When #Facebookdown &amp; #instagramdown https://t.co/q8Ks4dfgRb,Faiqa_Ayaz,"['Facebookdown', 'instagramdown']"
2019-03-14 15:02:27,First . . . #instagramdown  #FacebookDown https://t.co/jjDCIIvvJb,Arjunafaras1,"['instagramdown', 'FacebookDown']"
2019-03-14 15:02:05,While #FacebookDown &amp; #instagramDown  #NYC Get out there and ride !! https://t.co/8MOmu1TkoJ,EchelonCyclesNY,"['FacebookDown', 'instagramDown', 'NYC']"
2019-03-14 15:00:53,Free Time Without Social Media? How People Responded to Facebook and Instagram Being Down #Trending #FacebookDown #InstagramDown https://t.co/tu4qqnAoDC,Knowlesitall,"['Trending', 'FacebookDown', 'InstagramDown']"
2019-03-14 15:00:43,I wish you all had cared about the 2016 election as much as you care about #instagramdown #FacebookDown 🙄,JustSomeVic,"['instagramdown', 'FacebookDown']"
2019-03-14 15:00:08,Just like the old song says.... #FacebookDown #InstagramDown https://t.co/IhZ0RCrnmM,FreeToLaughNow,"['FacebookDown', 'InstagramDown']"
2019-03-14 14:58:40,"Which shutdown put more ppl out of  work? Govt Shutdown ( Govt Workers ) OR Instagram / FB shutdown (Scammers , IG hoes , Influencers ) 🤔😂😂😂😂 #FacebookDown #instagramdown",AMPMSose,"['FacebookDown', 'instagramdown']"
2019-03-14 14:58:26,We survived! #InstagramDown #FacebookDown https://t.co/mW2tQJqptp,BARN3S_Agency,"['InstagramDown', 'FacebookDown']"
2019-03-14 14:58:21,#Checkout this #coversong 🎙🇩🇿 ❤ https://t.co/CBbILf456d  #SouhilaBenLachhab #Algeria  #FacebookDown #instagramdown #Suzano #Facebook #BTSxSNL #SWEARTOGOD #Meb750FelsefeciAta #WeAreErdogan #instagram,lavieetbelle7,"['Checkout', 'coversong', 'SouhilaBenLachhab', 'Algeria', 'FacebookDown', 'instagramdown', 'Suzano', 'Facebook', 'BTSxSNL', 'SWEARTOGOD', 'Meb750FelsefeciAta', 'WeAreErdogan', 'instagram']"
2019-03-14 14:57:56,How twitter is feeling rn  After #InstagramDown  #FacebookDown https://t.co/hdASSpw0ed,Shahnwarma,"['InstagramDown', 'FacebookDown']"
2019-03-14 14:57:28,This pretty much sums up my day yesterday. You didn’t miss much. #Facebook #FacebookDown #Instagram #InstagramDown https://t.co/CMq4xIpVEb,jasonmapes,"['Facebook', 'FacebookDown', 'Instagram', 'InstagramDown']"
2019-03-14 14:57:24,#Checkout this #coversong 🎙🇩🇿 ❤ https://t.co/UlQWkHMI13  #SouhilaBenLachhab #Algeria  #FacebookDown #instagramdown #Suzano #Facebook #BTSxSNL #SWEARTOGOD #Meb750FelsefeciAta #WeAreErdogan #instagram,HayetRim,"['Checkout', 'coversong', 'SouhilaBenLachhab', 'Algeria', 'FacebookDown', 'instagramdown', 'Suzano', 'Facebook', 'BTSxSNL', 'SWEARTOGOD', 'Meb750FelsefeciAta', 'WeAreErdogan', 'instagram']"
